#
# Synthetic dataset mimics Alvarez2001.pdf
# fg | mu_app (cP)
#
#0.10 305.10
#0.15 386.64
#0.20 455.54
#0.25 521.62
#0.30 580.67
#0.35 635.50
#0.40 683.30
#0.45 729.70
#0.50 776.10
#0.55 815.47
#0.60 853.43
#0.65 884.36
#0.70 906.85
#0.75 899.82
#0.80 816.87
#0.85 648.15
#0.90 459.75
#
0.10     312.29
0.15     363.62
0.20     488.17
0.25     513.47
0.30     559.75
0.35     663.69
0.40     712.67
0.45     706.48
0.50     776.71
0.55     724.03
0.60     902.50
0.65     928.22
0.70     950.08
0.75     808.88
0.80     803.23
0.85     648.22
0.90     469.07

