#
# Synthetic dataset mimics Alvarez2001.pdf Smooth transition
# fg | mu_app (cP)
#
#0.10  294.81
#0.15  369.67
#0.20  432.82
#0.25  492.46
#0.30  543.91
#0.35  589.50
#0.40  630.41
#0.45  666.64
#0.50  698.19
#0.55  725.05
#0.60  743.72
#0.65  756.54
#0.70  756.48
#0.75  744.72
#0.80  713.05
#0.85  660.32
#0.90  577.15
#
0.10     301.76
0.15     347.66
0.20     463.83
0.25     484.76
0.30     524.31
0.35     615.65
0.40     657.50
0.45     645.42
0.50     698.74
0.55     643.75
0.60     786.49
0.65     794.06
0.70     792.54
0.75     669.46
0.80     701.14
0.85     660.39
0.90     588.85

